Operating System,Percentage
Windows 11 64 bit,63.57%
Windows 10 64 bit,31.14%
Windows 7 64 bit,0.09%
OSX,2.11%
MacOS 15.6.1 64 bit,0.51%
MacOS 26.0.1 64 bit,0.50%
MacOS 15.5.0 64 bit,0.15%
MacOS 26.0.0 64 bit,0.14%
MacOS 15.6.0 64 bit,0.08%
MacOS 15.7.1 64 bit,0.08%
MacOS 12.7.6 64 bit,0.05%
MacOS 26.1.0 64 bit,0.05%
Linux,3.05%
Arch Linux 64 bit,0.31%
Linux Mint 22.2 64 bit,0.20%
Ubuntu Core 22 64 bit,0.14%
Ubuntu 24.04.3 LTS 64 bit,0.11%
Linux Mint 22.1 64 bit,0.08%
EndeavourOS Linux 64 bit,0.07%
Fedora Linux 42 (KDE Plasma Desktop Edition) 64 bit,0.06%
Manjaro Linux 64 bit,0.06%
Fedora Linux 42 (Workstation Edition) 64 bit,0.05%
